"site","plot","year","scale_0.5","scale_0.6","scale_0.7","scale_0.8","scale_0.9","scale_1","scale_1.1","scale_1.2","scale_1.3","scale_1.4","scale_1.5","scale_1.6","scale_1.7","scale_1.8","scale_1.9","scale_2"
14,488364,2014,2.48736932464596,2.49927425119599,2.51036649482256,2.52075607538516,2.53052752954894,2.53974824148234,2.54847341741396,2.55674925174694,2.5646150469666,2.57210469288255,2.5792477347487,2.58607016699105,2.59259503756737,2.59884291781465,2.60483227432646,2.61057976789467
14,488369,2014,2.84014110744219,2.8502785987378,2.85986856408331,2.86898585431519,2.87768726188163,2.88601743855114,2.89401246387903,2.90170213100054,2.90911148139651,2.91626187506016,2.92317176019365,2.92985724132256,2.93633250794313,2.9426101641145,2.94870148609085,2.95461662663793
14,488373,2014,1.54059733193538,1.5631216779174,1.58424945609013,1.60416944221986,1.62302760637989,1.6409405464879,1.65800372125971,1.67429680825725,1.68988735759823,1.70483337822492,1.71918522532803,1.73298701322409,1.74627769597867,1.75909190926748,1.77146063677412,1.78341174510526
14,488374,2014,2.22185593809214,2.23380235633608,2.24487817117991,2.25521568690534,2.26491565283308,2.27405731090539,2.28270455556711,2.29090993447261,2.29871736597993,2.3061640525002,2.31328186793648,2.3200983888658,2.32663767716189,2.3329208847839,2.33896672854135,2.34479186797505
14,488383,2014,2.42529998339003,2.44157469838716,2.45663657740175,2.47065750284158,2.48377056091657,2.49608204666361,2.50767888213976,2.51863347628272,2.52900705677361,2.53885203894324,2.54821376094802,2.55713178671214,2.56564090509081,2.5737719100102,2.58155221917668,2.58900637149992
14,488384,2014,2.26169854767136,2.2823975539871,2.30177522167464,2.32000535224252,2.33722264119,2.35353504665239,2.36903131791925,2.38378586810849,2.39786208296925,2.41131465604885,2.42419128968788,2.43653396722158,2.44837992599192,2.45976241592671,2.47071130083395,2.48125354197907
14,488393,2014,2.24639108328593,2.26147863002597,2.27565251812294,2.28903825117944,2.30173212958709,2.31381055995513,2.32533573411112,2.3363593062559,2.34692488693796,2.35706979855012,2.36682634919703,2.37622278086085,2.38528399051661,2.39403208882165,2.40248683999115,2.41066601305803
14,488399,2014,2.52429956502355,2.54100397361782,2.55667221910989,2.57144508686111,2.58543090366663,2.59871583481284,2.61137017880296,2.62345245038201,2.63501215388511,2.64609173785309,2.65672801497177,2.66695322004576,2.67679581541948,2.68628111559776,2.69543177953061,2.70426820414357
14,488400,2014,2.5329051997953,2.54806278735541,2.56227346209568,2.57566950309172,2.58835246901264,2.60040290925565,2.61188631376457,2.62285698137092,2.63336065345538,2.64343637423184,2.65311784486713,2.66243443413626,2.67141194885636,2.6800732319347,2.68843863394575,2.6965263901238
32,489041,2014,2.39250325655754,2.41777322344147,2.44127734103677,2.46326429609207,2.48392631367599,2.503416720877,2.52186076335345,2.53936267663923,2.55601052792498,2.57187965574284,2.58703518805634,2.60153393217076,2.61542582325504,2.62875505463211,2.6415609735044,2.65387880043959
32,489049,2014,2.06430822178841,2.09482183480041,2.12308724259137,2.14943141981998,2.17410636023631,2.19731240806037,2.21921265293661,2.23994235008942,2.25961537251057,2.27832879375811,2.29616624079199,2.31320040801166,2.32949498185128,2.34510614049452,2.36008374056889,2.37447226881923
32,489050,2014,1.78240762860678,1.80120554601666,1.81883775130287,1.83546533734695,1.85121265966317,1.86617883375952,1.88044479854116,1.89407792295535,1.90713515284756,1.91966524151609,1.93171037912759,1.94330741316438,1.95448878205805,1.96528324242609,1.97571644445799,1.98581139341529
32,489057,2014,1.81221369480386,1.83062102874644,1.84779081245363,1.86389867779687,1.87908012244258,1.89344301571216,1.90707530622905,1.92005006091802,1.93242891340154,1.94426451150506,1.95560230684172,1.96648189611409,1.97693804765659,1.98700150126233,1.99669960109054,2.00605680331709
32,489063,2014,1.97419245508334,1.99551987515207,2.01547374260628,2.0342413905808,2.05196827741855,2.06877094777167,2.08474501839229,2.09997040292355,2.11451489331663,2.12843670774054,2.14178635901161,2.15460805965994,2.16694080118637,2.17881919819708,2.19027415902971,2.20133342583472
32,489064,2014,2.18593546665725,2.20768523431273,2.22810881428076,2.24738250853316,2.26564216140653,2.28299612074744,2.29953308761824,2.31532717266866,2.33044131428316,2.34492968078956,2.35883941342936,2.37221192517948,2.38508389071865,2.39748801573742,2.40945364488264,2.42100724927067
32,489065,2014,1.95307168409001,1.96207153138798,1.97053639858222,1.97853909150027,1.98613572905905,1.99337104479753,2.00028161168576,2.00689792790491,2.01324583217833,2.01934750182672,2.02522217910177,2.03088671383291,2.03635597793002,2.04164318806048,2.04676016098804,2.05171751852839
32,489069,2014,1.73603289259684,1.75677282975554,1.77617305135499,1.79441356718692,1.81163436145314,1.82794784616213,1.84344649280434,1.85820780543441,1.87229772023515,1.88577302018427,1.89868310465979,1.9110713204267,1.92297598484381,1.93443118724234,1.94546742670274,1.95611212673926
32,489077,2014,2.84418310891321,2.86485674210059,2.88410159399491,2.90212926587457,2.91910021676951,2.93514044462976,2.95035156672544,2.96481728689339,2.9786077436836,2.99178254619642,3.00439296062055,3.01648352668778,3.02809327950891,3.03925669096656,3.050004407216,3.06036383496837
32,489079,2014,2.14736312003608,2.18733878274303,2.22420878225832,2.25842984753004,2.29035382489837,2.32026026501876,2.34837655987883,2.37489113384176,2.39996248394303,2.42372560277269,2.44629667786741,2.46777661514225,2.48825373571357,2.50780587681579,2.52650205369848,2.54440379192981
50,489725,2014,1.63507189230814,1.66340474488098,1.68972576333499,1.71431246389489,1.737380748193,1.75910391548306,1.77962436599647,1.79906125876549,1.81751576573397,1.83507481560082,1.85181384490388,1.86779887176004,1.883088092824,1.89773313564464,1.91178005623913,1.92527014455771
50,489728,2014,1.25708855114707,1.27084703540077,1.28372163029445,1.29583496998727,1.30728211012183,1.31813911590976,1.32846833000819,1.33832180774579,1.34774366649141,1.35677175465249,1.36543887464223,1.37377370231919,1.38180149330841,1.38954463565506,1.39702308912176,1.40425473919784
50,489730,2014,1.58646873097047,1.61598073077386,1.64341115618356,1.66905346625913,1.693133777144,1.71583211716641,1.73729542769526,1.75764600460256,1.77698724088955,1.79540768239802,1.81298398160322,1.82978310489355,1.84586401835417,1.86127899957641,1.8760746751454,1.89029285289123
50,489731,2014,2.20934124955713,2.24420615107684,2.2766297869929,2.30696030730567,2.33546503107371,2.36235611570994,2.38780622446354,2.41195867983173,2.43493435834204,2.45683655137994,2.4777544990774,2.49776602630249,2.51693955211963,2.53533565047749,2.55300828210537,2.57000578073252
50,489735,2014,1.53162090343767,1.55911744718995,1.58477264088711,1.6088390245985,1.63151166832511,1.65294634050457,1.67327058308778,1.69259088800564,1.71099757463744,1.72856823412235,1.74537023913149,1.76146262112568,1.77689750590091,1.79172123232532,1.80597523856388,1.81969677420604
50,489738,2014,2.1278222937437,2.14983306025862,2.1703502576428,2.18958005649259,2.20768127234051,2.22478042366296,2.24098089586952,2.25636886820873,2.27101733366792,2.28498893154458,2.29833800689127,2.31111214752789,2.32335335684176,2.33509896583255,2.34638235413663,2.35723352828819
