"site","plot","year","scale_0.7","scale_0.75","scale_0.8","scale_0.85","scale_0.9","scale_0.95","scale_1","scale_1.05","scale_1.1","scale_1.15","scale_1.2","scale_1.25","scale_1.3"
14,488364,2014,2.51036649482256,2.51564335665479,2.52075607538516,2.52571452446338,2.53052752954894,2.53520303603497,2.53974824148234,2.54416970179356,2.54847341741396,2.55266490411886,2.55674925174694,2.56073117339312,2.5646150469666
14,488369,2014,2.85986856408331,2.86448240538012,2.86898585431519,2.87338551802864,2.87768726188163,2.88189632958924,2.88601743855114,2.89005485650357,2.89401246387903,2.89789380507439,2.90170213100054,2.90544043470026,2.90911148139651
14,488373,2014,1.58424945609013,1.59435048772179,1.60416944221986,1.61372339072759,1.62302760637989,1.6320958410141,1.6409405464879,1.6495730540265,1.65800372125971,1.66624205403121,1.67429680825725,1.6821760758262,1.68988735759823
14,488374,2014,2.24487817117991,2.25013232278312,2.25521568690534,2.26013999256579,2.26491565283308,2.2695519719533,2.27405731090539,2.27843922140176,2.28270455556711,2.28685955661208,2.29090993447261,2.29486092942408,2.29871736597993
14,488383,2014,2.45663657740175,2.46376810228902,2.47065750284158,2.47732034682405,2.48377056091657,2.49002067990169,2.49608204666361,2.50196497476945,2.50767888213976,2.5132324020695,2.51863347628272,2.52388943357459,2.52900705677361
14,488384,2014,2.30177522167464,2.31102457032019,2.32000535224252,2.32873333276081,2.33722264119,2.34548602399157,2.35353504665239,2.36138025685067,2.36903131791925,2.3764971191898,2.38378586810849,2.39090516781026,2.39786208296925
14,488393,2014,2.27565251812294,2.28243733332497,2.28903825117944,2.29546650962604,2.30173212958709,2.30784410595163,2.31381055995513,2.3196388623482,2.32533573411112,2.33090732966374,2.3363593062559,2.34169688232288,2.34692488693796
14,488399,2014,2.55667221910989,2.56416319050017,2.57144508686111,2.57853055949513,2.58543090366663,2.59215627026059,2.59871583481284,2.60511793425268,2.61137017880296,2.61747954449718,2.62345245038201,2.62929482348208,2.63501215388511
14,488400,2014,2.56227346209568,2.56906638242298,2.57566950309172,2.58209467643353,2.58835246901264,2.59445236163447,2.60040290925565,2.60621187049925,2.61188631376457,2.61743270505847,2.62285698137092,2.62816461248732,2.63336065345538
32,489041,2014,2.44127734103677,2.45244737574683,2.46326429609207,2.47375057759665,2.48392631367599,2.49380957901603,2.503416720877,2.51276259567531,2.52186076335345,2.53072364872335,2.53936267663923,2.54778838619375,2.55601052792498
32,489049,2014,2.12308724259137,2.13648230891498,2.14943141981998,2.16196401230469,2.17410636023631,2.18588205793151,2.19731240806037,2.20841673681897,2.21921265293661,2.2297162626988,2.23994235008942,2.24990452895683,2.25961537251057
32,489050,2014,1.81883775130287,1.82726865177161,1.83546533734695,1.84344234331542,1.85121265966317,1.85878796843011,1.86617883375952,1.87339485606472,1.88044479854116,1.88733669206123,1.89407792295535,1.9006753070885,1.90713515284756
32,489057,2014,1.84779081245363,1.85596825308065,1.86389867779687,1.87159792031271,1.87908012244258,1.88635799305966,1.89344301571216,1.90034561723115,1.90707530622905,1.91364078802986,1.92005006091802,1.92631049741093,1.93242891340154
