"site","plot","year","UTMx","UTMy","sekhabtype","terhabtype","pHjord","pHvand","Cijord","Nijord","CNratio","Fosfortal","NitratN","Nilyngfamilien","Pilyngfamilien","NPilyngfamilien","Nigraminoids","Pigraminoids","NPigraminoids","Nitoervemos","Pitoervemos","NPitoervemos","Niandetmos","Piandetmos","NPiandetmos","morlag","vegetationshoejde","vedplanterover1m5md","vedplanterunder1m5md","dvaergbuske5md","vandflade5md","lyngensbladbille5md","enebær5md","gråris5md","havtorn5md","hoeljer5md","hvasavneknippe5md","klokkelyng5md","vadegræs5md","graesningbin","hoesletbin","indikatorarter","antalarter","antalstjernearter","antaltostjernearter","antalenaarigearter","meanscore","andelstjerne","andeltostjerne","Ndep","nedbør","jordtype","slope","aspect","pEL","pEF","pER","pEN","pGC","pGS","pGR","pAnnualsGrime","pchmax","pslamean","psmmean","pEEL","pEEF","pEER","pEEN","pEES","pLDMC","pLM","pLS","pnaeringsratio","pEnaeringsratio","fEL","fEF","fER","fEN","fGC","fGS","fGR","fAnnualsGrime","fchmax","fslamean","fsmmean","fEEL","fEEF","fEER","fEEN","fEES","fLDMC","fLM","fLS","fnaeringsratio","fEnaeringsratio"
14,488364,2014,"588630","6361100","6230","{6230}","3.9","mv","mv","mv","mv","mv","mv","mv","mv","mv","1.3","0.07","18.57142857142857","mv","mv","mv","mv","mv","mv","0.","10.","5.092946269416857","0.","0.6366182836771072","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","8","27","18","3","0","4.111111","0.6666666666666666","0.1111111111111111","15.138500000000002","781.3","4","29.802259","354.379761","6.925925925925926","4.461538461538462","3.875","3.037037037037037","2.6363636363636362","6.363636363636363","3.","0.","0.28578703703703695","25.916744791666673","0.8251863569876038","6.705882352941177","5.176470588235294","4.205882352941177","3.088235294117647","0.029411764705882353","243.22416666666666","21.50033815523421","651.6171547619045","0.7837514934289128","0.7342657342657343","6.8","4.944444444444445","3.55","3.","2.5454545454545454","7.181818181818182","2.272727272727273","0.","1.5610679012345676","24.41008333333333","6.517262142622299","6.923076923076923","5.384615384615385","4.538461538461538","3.076923076923077","0.07692307692307693","242.26533333333333","26.935517849532314","579.2324602859859","0.8450704225352113","0.6779661016949152"
14,488369,2014,"588670","6361230","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","20.","11.459129106187929","6.366182836771071","1.2732365673542143","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","9","44","23","1","2","3.431818","0.5227272727272727","0.022727272727272728","15.138500000000002","781.3","4","24.335638","181.495987","7.1692307692307695","4.829787234042553","4.725","3.9107142857142856","3.6455696202531644","4.632911392405063","3.721518987341772","0.","0.45374458874458856","25.895370370370387","1.2696914027147488","7.025316455696203","5.075949367088608","5.417721518987341","3.8607594936708862","0.21518987341772153","220.14185064935066","29.811864296840433","855.3557499999997","0.8276643990929705","0.7126168224299065","6.7631578947368425","4.620689655172414","4.125","3.5294117647058822","3.317073170731707","5.7317073170731705","2.951219512195122","0.","1.2412624999999997","24.33156481481481","6.197461067454903","6.829268292682927","5.097560975609756","5.097560975609756","3.682926829268293","0.07317073170731707","235.90703958333333","31.4062185606928","696.0144723054105","0.8556149732620321","0.722488038277512"
14,488373,2014,"588340","6361410","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","15.","0.","25.464731347084285","0.","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","4","26","13","1","0","3.346153","0.5","0.038461538461538464","15.138500000000002","781.3","4","42.931522","287.887207","6.447368421052632","6.857142857142857","2.933333333333333","4.131578947368421","3.736842105263158","5.7894736842105265","2.473684210526316","0.","0.2708333333333332","24.059276315789468","0.23152468100119603","6.2105263157894735","5.184210526315789","3.5526315789473686","3.9210526315789473","0.","283.015592105263","10.0537416244079","256.87616228070215","1.4084928229665072","1.1037037037037036","6.428571428571429","5.333333333333333","3.5714285714285716","3.888888888888889","3.6956521739130435","5.6521739130434785","2.652173913043478","0.","2.918442028985507","25.265476190476193","165.5225207184689","6.478260869565218","5.608695652173913","4.521739130434782","3.869565217391304","0.08695652173913043","247.17464583333333","77.07268829070851","1784.0544556888224","1.0888888888888888","0.8557692307692307"
14,488374,2014,"588530","6361690","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","10.","0.","0.","0.","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","6","30","14","2","2","3.366666","0.4666666666666667","0.06666666666666667","15.138500000000002","781.3","4","28.837673","243.736404","6.9","5.","4.361111111111111","3.7241379310344827","3.391304347826087","4.956521739130435","3.652173913043478","0.","0.4790942028985506","25.810757575757574","1.3802720562354596","6.8478260869565215","4.978260869565218","4.869565217391305","3.739130434782609","0.4782608695652174","243.53304347826088","24.767215978626798","632.3633531746033","0.8539424555238304","0.7678571428571429","6.777777777777778","4.782608695652174","4.615384615384615","4.217391304347826","3.","5.172413793103448","3.8275862068965516","0.03333333333333333","0.9482068965517243","25.640909722222215","7.634621657192305","6.933333333333334","5.","5.4","3.8","0.13333333333333333","218.09981321839084","42.53054688850945","948.1974432603685","0.913768115942029","0.7037037037037037"
14,488383,2014,"588570","6361480","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","15.","2.5464731347084286","15.278838808250573","19.098548510313215","0.","mv","mv","mv","mv","mv","mv","mv","mv","1","0","9","31","18","5","1","3.838709","0.5806451612903226","0.16129032258064516","15.138500000000002","781.3","4","48.958931","275.053955","7.114285714285714","4.3","3.53125","3.3225806451612905","2.4864864864864864","6.621621621621622","2.891891891891892","0.","0.8811666666666668","24.226887254901982","1.019859725352922","6.725","5.5","3.975","3.15","0.025","302.8989062500001","11.143089792650903","307.55545312500016","0.9409077933200114","0.7924528301886793","6.724137931034483","4.6","3.7777777777777777","3.217391304347826","2.5384615384615383","6.8076923076923075","2.6538461538461537","0.","2.4710277777777776","23.520798611111108","136.16438148454023","6.857142857142857","5.178571428571429","4.678571428571429","3.142857142857143","0.03571428571428571","244.95331944444442","42.899425273493016","1089.69586637931","0.8516624040920716","0.6717557251908397"
14,488384,2014,"588560","6361420","6230","{6230}","4.","mv","mv","mv","mv","mv","mv","mv","mv","mv","1.3","0.08","16.25","mv","mv","mv","mv","mv","mv","0.","5.","0.","1.9098548510313216","25.464731347084285","0.","mv","mv","mv","mv","mv","mv","mv","mv","1","0","11","30","20","4","1","4.1","0.6666666666666666","0.13333333333333333","15.138500000000002","781.3","4","36.451199","257.565063","7.184210526315789","4.294117647058823","2.1538461538461537","2.263157894736842","3.5789473684210527","6.973684210526316","1.4473684210526316","0.","0.521491228070175","19.511990740740746","0.30638530031658695","7.052631578947368","5.052631578947368","4.","2.3947368421052633","0.02631578947368421","250.50962719298246","23.2976773210586","343.7614035087719","1.050751879699248","0.5986842105263158","6.75","4.833333333333333","3.1052631578947367","2.769230769230769","2.423076923076923","7.615384615384615","1.9615384615384615","0.","2.7835277777777776","23.08336666666667","125.70813314106532","6.857142857142857","5.321428571428571","4.285714285714286","2.7857142857142856","0.03571428571428571","254.94219827586204","32.274935733866464","779.9617626649638","0.8917861799217731","0.65"
14,488393,2014,"588500","6361500","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","5.","12.732365673542143","0.","0.","0.","mv","mv","mv","mv","mv","mv","mv","mv","1","0","5","34","16","1","2","3.382352","0.47058823529411764","0.029411764705882353","15.138500000000002","781.3","4","27.911524","180.993378","7.090909090909091","4.535714285714286","4.117647058823529","3.3333333333333335","2.816326530612245","5.510204081632653","3.673469387755102","0.","0.25629251700680256","26.22920370370372","0.5164487596785496","7.163265306122449","4.857142857142857","5.26530612244898","3.163265306122449","0.14285714285714285","218.33649659863949","20.55320459892003","573.9959259259257","0.8095238095238095","0.6007751937984496","7.161290322580645","4.818181818181818","3.5555555555555554","3.8461538461538463","3.433333333333333","4.833333333333333","3.7333333333333334","0.029411764705882353","2.1954193548387098","23.599023809523803","125.46520408216416","7.064516129032258","5.419354838709677","5.258064516129032","3.870967741935484","0.12903225806451613","237.84593817204305","42.47302648340363","1331.4656061364474","1.0817307692307692","0.7361963190184049"
14,488399,2014,"588620","6361240","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","10.","6.366182836771071","6.366182836771071","0.6366182836771072","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","9","38","22","3","0","3.68421","0.5789473684210527","0.07894736842105263","15.138500000000002","781.3","4","12.273889","211.230682","7.066666666666666","4.7894736842105265","3.6222222222222222","3.1666666666666665","3.3137254901960786","5.7254901960784315","2.9607843137254903","0.","0.40162745098039176","25.644806201550413","0.49744587591010864","6.788461538461538","5.173076923076923","4.25","3.2115384615384617","0.","249.55176666666665","23.794928338936586","638.6451532869011","0.8742331288343558","0.755656108597285","6.911764705882353","5.166666666666667","3.9047619047619047","3.3870967741935485","3.3125","6.125","2.5625","0.","0.6928333333333334","21.74576436781609","0.9648670236282471","6.970588235294118","5.588235294117647","4.882352941176471","3.4411764705882355","0.08823529411764706","246.88162760416668","67.36629789952555","1455.785587192161","0.8674272226593234","0.7048192771084337"
14,488400,2014,"588370","6361250","6230","{6230}","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","mv","30.","19.098548510313215","76.39419404125286","0.6366182836771072","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","7","38","17","3","0","3.315789","0.4473684210526316","0.07894736842105263","15.138500000000002","781.3","4","14.728065","83.787193","6.8108108108108105","4.625","6.03125","4.366666666666666","4.119047619047619","5.333333333333333","2.5476190476190474","0.","0.7091818181818182","22.36182795698924","31.423867619045243","7.113636363636363","4.954545454545454","6.045454545454546","4.318181818181818","0.18181818181818182","260.86934523809526","151.1484906524202","3165.7304589562023","0.724006908462867","0.7142857142857143","6.878787878787879","4.5","5.333333333333333","4.08","4.515151515151516","5.0606060606060606","2.4242424242424243","0.","3.4722047619047607","22.464722222222218","154.52924628401468","6.857142857142857","4.9714285714285715","5.771428571428571","4.114285714285714","0.14285714285714285","244.17347864145663","94.9633825704586","1928.9126352486555","0.765","0.7128712871287128"
32,489041,2014,"511029","6257332","6230","{6230}","4.1","mv","mv","mv","mv","mv","mv","mv","mv","mv","2.","0.16","12.5","mv","mv","mv","mv","mv","mv","mv","32.5","15.278838808250573","0.","0.12732365673542145","0.","mv","mv","mv","mv","mv","mv","mv","mv","0","0","10","47","26","3","2","3.595744","0.5531914893617021","0.06382978723404255","13.8199","794.1","2","22.946159","67.747292","6.7368421052631575","5.7","4.485714285714286","2.9411764705882355","3.04","5.74","3.22","0.","1.0169444444444444","23.882255102040816","1.1414914454120872","6.925925925925926","5.62962962962963","4.388888888888889","3.4814814814814814","0.3333333333333333","298.51185493827165","24.54329537583517","373.89028682170556","0.6556762832521543","0.7932489451476793","6.674418604651163","5.0606060606060606","4.5","3.4722222222222223","3.3488372093023258","5.8604651162790695","2.7906976744186047","0.","2.5380905797101447","22.991504273504273","102.31119056174806","6.8","5.222222222222222","5.133333333333334","3.688888888888889","0.13333333333333333","254.04441296296298","58.72519439270803","959.9512219746746","0.7716049382716049","0.7186147186147186"
