"site","plot","year","shannon","pH","row_shannon","species_richness","hills_number"
14,488364,2014,2.53974824148234,"3.9",2.40318957865346,29,11.0583918000385
14,488369,2014,2.88601743855114,"mv",2.77269412377469,45,16.0016865134376
14,488373,2014,1.6409405464879,"mv",1.38740997946848,27,4.00446496352886
14,488374,2014,2.27405731090539,"mv",2.13494816859469,33,8.45660817761607
14,488383,2014,2.49608204666361,"mv",2.30846471564887,34,10.0589694156235
14,488384,2014,2.35353504665239,"4.",2.12004475644153,33,8.33151036809984
14,488393,2014,2.31381055995513,"mv",2.14379748332297,36,8.53177546386929
14,488399,2014,2.59871583481284,"mv",2.41035547095336,40,11.137919648373
14,488400,2014,2.60040290925565,"mv",2.42893150602008,40,11.3467516646723
32,489041,2014,2.503416720877,"4.1",2.21414219992028,49,9.15355382375744
32,489049,2014,2.19731240806037,"4.2",1.84448262756971,48,6.32482665282298
32,489050,2014,1.86617883375952,"mv",1.65422702368478,37,5.22903643830255
32,489057,2014,1.89344301571216,"mv",1.6835943581704,26,5.38487640254005
32,489063,2014,2.06877094777167,"mv",1.82796340822985,49,6.22120369565256
32,489064,2014,2.28299612074744,"mv",2.03813860025764,33,7.67630721588082
32,489065,2014,1.99337104479753,"mv",1.89224509104865,20,6.63424646115288
32,489069,2014,1.82794784616213,"mv",1.59375997825418,31,4.92222162436576
32,489077,2014,2.93514044462976,"5.1",2.69551825149669,85,14.8131937241517
32,489079,2014,2.32026026501876,"mv",1.85434560825892,62,6.38751694432959
50,489725,2014,1.75910391548306,"mv",1.43510984760177,29,4.20010635505885
50,489728,2014,1.31813911590976,"mv",1.16236953440865,17,3.19750089510121
50,489730,2014,1.71583211716641,"3.8",1.37690524927499,27,3.96261931295492
50,489731,2014,2.36235611570994,"mv",1.96127819956986,63,7.10840722384883
50,489735,2014,1.65294634050457,"3.7",1.33979428028558,26,3.8182579336336
50,489738,2014,2.22478042366296,"mv",1.97331569592876,33,7.19449173141931
50,489748,2014,2.16571774489154,"mv",2.04041918307788,29,7.69383364788379
50,489752,2014,2.2129095226314,"mv",1.95204047705458,39,7.04304409841273
50,489760,2014,1.49807579552734,"3.8",1.1568488819329,25,3.17989724040812
51,489769,2014,1.62996918503637,"mv",0.899564200899253,37,2.45853145186395
51,489776,2014,2.29818825795942,"5.5",2.06872445105247,38,7.914721062265
